"full_text";"location";"username"
"Pembangunan IKN Merupakan Langkah Baru Menuju Masa Depan Indonesia onad gbla mpls seblak point coffee kopken enzo israel netanyahu united pbnu interpreter roscoe image wonu ";;
"@geloraco Dulu saya sangat mengagumi gusdur tapi lihat kelakuan PBNU sekarang yg Oeng dekat gusdur ko saya jadi mikir yaa kalau gusdur itu tidak sebaik yg saya pikirkan";;"Ahmad65839045"
"Udah beranak Pinak masih belom cukup umur ? @YahyaCStaquf @PBNU_164";"Indonesia";"insanisyah1"
"Ini kan untuk menutupi issue lima binatang yang menemui presiden Israel dan PM nya. Apakabar PBNU dan NU. ?";;"TeDeePeee"
"@Generasi_MudaNU Ya kalau gitu kalian Pengurus PBNU langsung aja lapor ke kepolisian masak kalian merasa banyak musuh tapi kalian gak mau mempenjarakan 5 orang itu yang telah mencoreng organisasi kalian.";;"Bang_djii"
"@NUgarislucu Organisasi PBNU tuh lg lucu²nya dr tingkat atas sampe bawah. Seharusnya si pada punya rada MALU dilihat dan dinilai masyarakat seluruh Indonesia bahkan dunia.";;"orangkidul23"
"@tempodotco Hebat juga pribadi mereka yaa.. diundang ke Israel bukan karena sosok kader PBNU melainkan krna pribadi...";;"Arri_Hrp"
"@WAHYU_UNIFORM @hhsahal Itu tandanya Allah menghukum PBNU !! CAMKAN ITU !! Akan ada waktunya Bajingan bajingan munafik PBNU akan musnah .. Dan Allah memperlihatkan watak orang munafik PBNU Emang bangsat kalian ketua PBNU dan anggota ya . dasar budak zioni";;"Rokib_saidani"
"Kan ada yang ngasih contoh lupa ya pak ? Ketum PBNU Minta Maaf Terkait 5 Nahdliyin Bertemu Presiden Israel https://t.co/gnRePIHMaq";"Near Jakarta Capital Region ID";"2worx"
"@hhsahal PBNU SEKARANG !! ( Persatuan Budak Netanyahu United ) !!! .. Dari ketuanya sampai bawahanya bertemu rezim DNA zionis Dan itu fakta Kalau pengen bersih lagi PBNU Pecat semua ketua ya Dan Anggota yg berkunjung kesana !!! Berani PECAT MEREKA TIDAK ?";;"Rokib_saidani"
"@CNNIndonesia Bubarkan saja PBNU ini cukup kan sudah ada MUI yg ngurusin Umat.";;"sentot99091286"
"Mas2 Nahdliyin biasa - yang mengatasnamakan PBNU sekarang levelnya udah bikin gempar ndonya karena main sama petinggi Zionis. Udah bukan level komisaris wamen stafsus atau TA kementerian lagi. Mas2 @MuhammadiyinGL biasa bisa apa? Ya tetap jadi seperti biasanya. Sebisanya.";;"muchlashamidy"
